,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-T,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C,MA-C
δ,0.873969297963216,0.447797656399027,1.04573861285722,0.829295425249698,0.358033296667013,0.990824509187161,0.452868133280258,0.728545873083525,1.14835244110777,1.09781631894296,0.647659851199576,0.525781335304204,0.852730057300565,0.604242386279561,0.659135814515538,0.962988098320087,0.959487611855126,0.517278719817742,0.416022190260003,0.576948888681748,0.458538811085347,0.34650287434032,0.752700637088886,0.736678215859936,0.846652910999797,0.619266056663843,0.391852909281958,0.554583608002109,0.77520063342876,0.542834905388146,0.568734220218891,0.276448063649459,0.274541084535429,0.450244627971615,0.917579727218565,0.216712790086109,0.67359121281814,0.683559731624252,0.560906292204122,0.806240342210598,0.411458082120521,0.532928091804295,0.510253633915478,0.402256916658538,0.815064243913683,0.216488690539359,0.602576685537874,0.663530883524792,0.807364490104013,0.70427191718672,0.661474088843052,0.375449979932042,0.424085600417125,0.176471684787963,0.526325376053374,0.215725787840885,0.473104354406944,0.676241259592618,0.528084734473664,1.0032157564456,0.528818975708963,0.528818975708963,0.717285695403548,0.80138497177298,0.83323374955092,0.559596736507232,0.67133780020769,0.706700667184416,0.437883355408635,0.606060754417932,0.735975178067592,0.469918001920994,0.671403970783406,0.662547880129446,0.323862919258189,0.462189448042388,0.558036774631324,0.705693245227632,0.692216026061857,0.542752801729351,0.454647417345414,0.967423350632649,0.581608059342551,0.782793351745211,0.698283183468797,0.524947407138286,0.463568281097495,0.815778774552955,0.667129307848666,0.942504537144309,0.667129307848666,0.774599871768166,0.54818259531301,0.560853849349884,0.527522614000299,0.564218065102713,0.583663664119343,0.588521014797166,0.623314450612605,0.537678471756231,0.530564646403701,0.417571636637498,0.328155914148719,0.440467972004717
θ,0.922946605920677,0.318291145754222,0.762618298752643,0.370669657516885,0.357430564852194,0.609513972642858,0.40513468019226,0.637277626851078,0.74700051162707,0.610009680445506,0.716584117595393,0.616353724048216,1.09016309155579,0.574110944180067,0.533818803678362,0.799154388390399,0.583711697288941,0.61177558915403,0.427203152799548,0.606266816890407,0.778672577736575,0.450436462016952,0.799472843694656,0.696700294455885,0.649751449618815,0.804247284345226,0.335044375523235,0.769818759801115,0.751883453128793,0.533724354299763,0.543216241628569,0.509679846055327,0.281285957693187,0.582083280340351,0.580442801974851,0.213561753296148,0.444755129624483,0.611191713686925,0.489076971243429,0.867931450885348,0.52908494725721,0.742689976998701,0.686660145403564,0.300577115513087,1.10597091436123,0.340572045061152,0.513403153713438,0.632813046197754,0.548737515985944,0.871898326847245,0.584065451596002,0.317498583973063,0.358864782130504,0.114964744479262,0.192100190153483,0.103342663659096,0.613227524319181,0.803912198500267,0.395917339093018,0.795770795167283,0.505227615750498,0.505227615750498,0.59260888823753,0.560048294681161,0.652957228930456,0.645191387222458,0.468482026994869,0.64391427200687,0.302428640370854,0.648323109824316,0.602703814245326,0.61171143308622,0.7375637579953,0.461840644977226,0.308462411171095,0.442144108470247,0.672678074308665,0.77651067511553,0.640468902969277,0.571453007774181,0.378750717978412,0.769571410711136,0.564273098647013,0.838142189627501,0.780856504039812,0.45329614065486,0.572075908542387,0.569108517877103,0.723864220776341,0.712414564971864,0.723864220776341,0.73075375659907,0.726792953926228,0.617308941723179,0.549031758011327,0.533231200415496,0.651765374099695,0.722957721681071,0.671734393682305,0.712032972421469,0.601440967079322,0.372414241804067,0.54060499987828,0.615308230516543
α,0.819285371739926,0.107695049605528,0.539064826831797,0.0448728959866015,0.19333407232427,0.273452207744979,0.171863940563174,0.39644401302788,0.447007068405122,0.241450614492071,0.729840752186114,0.505052532929721,1.27850088053223,0.284363975029973,0.280588020283486,0.564141528043873,0.246504061351551,0.6139098074044,0.190208606656205,0.337870226106538,0.978412909376278,0.389646526387983,0.691497989511181,0.524090543406117,0.408569408456031,0.959481341867612,0.105085254040219,0.803512709987443,0.598658747770289,0.3304024924984,0.332027511302199,0.619535276155833,0.151942226401118,0.54138454031438,0.295855851354327,0.0399710933939832,0.129375634149422,0.396065209188455,0.231555279551087,0.675731771422064,0.505120707699034,0.827884422358642,0.772793274643079,0.045801922820856,1.02401556711997,0.341656915507207,0.314032174718287,0.412038751005363,0.243795582894234,0.867911559251312,0.361263272318658,0.115543988137863,0.209892373089376,-0.101648184043199,-0.202540622733556,-0.102015803274718,0.595237465944223,0.701035001411521,0.110626248820679,0.487459253475778,0.348131711904246,0.348131711904246,0.306585390012521,0.230241110180661,0.308282487252418,0.504734020314779,0.20896314513372,0.459167464365552,0.0582655292992158,0.53473660213471,0.299375583723193,0.605982621031496,0.738810959592243,0.161872568480063,0.162496552379607,0.301733105669502,0.717227438474552,0.513994427135963,0.278344569638566,0.417067343424811,0.135689096358832,0.510587697133536,0.41072068386105,0.774555840309011,0.595999799834827,0.160304442331694,0.428088613364679,0.304883909917134,0.452884695149274,0.352925997888822,0.452884695149274,0.489365578841958,0.712263746344103,0.483608317925545,0.380080994672054,0.306094254776651,0.436140331073359,0.638159438517171,0.527087593041405,0.558056589644174,0.384339580626977,0.0982154227547105,0.536360558935379,0.614437696562527
β,0.688593167010236,0.656439967423776,0.917206384393541,0.479397130029201,0.445232211116449,0.550794580193013,0.406071857005753,0.710051111874413,0.807132306183369,0.548476002576731,0.831837269359671,0.697657643621732,1.13397619021494,0.435442930975256,0.638825098375285,0.789463079049579,0.518784558086808,0.589325083170351,0.439538826787584,0.355794728227567,0.842380394203862,0.816769094723259,0.937025353341974,0.732662116951875,0.982341990227126,0.926595523193838,0.498109387992342,0.846269342376573,1.04658581589881,0.511803288193879,0.648127783692345,0.825757529674601,0.75617345256256,0.730036697754697,0.498489119849148,0.28031891394216,0.367072272434021,0.79068828351484,0.633884533142089,0.702674061776087,0.868382203250877,0.918666313574698,0.704410295027093,0.391030888745371,0.816278464865257,0.690966141792323,0.696913160248704,0.679893107923786,0.696433600662079,0.939294775876184,0.597185053263538,0.540838201746134,0.813165711193623,0.310282960399206,0.147918184863088,0.430545290215978,1.01386664747017,1.02784520785923,0.553877383130999,0.514381256256423,0.639328188510434,0.639328188510434,0.608178969292768,0.541472155660348,0.58273839404927,0.67348003419713,0.666984913321976,0.890821644565695,0.392176834247875,0.802929597842867,0.670052466009203,0.842949478016042,1.23725462832968,0.390505327055473,0.37655052416567,0.536320875497029,0.81264463298097,0.546892131773881,0.28253841873927,0.359979245004273,0.326768073926959,0.680879356616382,0.837089115076346,0.848782349311873,0.703346834295863,0.360367942661642,0.473331748282141,0.464417831390987,0.545117224873806,0.572960602925921,0.545117224873806,0.710050579711739,0.875773368387647,0.670123477109165,0.842201396348525,0.445245052762339,0.470683080050486,0.614107695546876,0.64043676488471,0.666320422492949,0.352737380069862,0.373880134046038,0.856716211157399,0.84571830197941
γ,0.147524833383975,0.529965772816272,0.262728955202364,0.229198669112366,0.14215677041074,0.202055474569775,0.0342683117070564,0.395512753528043,0.484995029704252,0.356488913193923,0.316383407489665,0.0892996346892842,0.342152725004664,-0.00176742957054495,0.452996477164538,0.325260266428945,0.16324681084995,-0.0464240827359478,0.156565070604703,-0.014410679506597,0.322267706561712,0.660100136883218,0.320426127507272,0.131273280542323,0.285387083798652,0.0353525740653932,0.218525468920333,0.157735597595246,0.630511578651897,-0.031853440614651,0.316791236625002,0.211263915392699,0.453987363922339,0.357483520239753,-0.112457611877742,-0.0507629640488577,-0.0581379176321805,0.586115881488939,0.304750334966804,0.195706310229579,0.408174383688592,0.0976071721857746,-0.0253768163115495,-0.0280084073530096,0.329825867136048,0.441443424436685,0.338025136292643,0.136703843505073,0.291957865194369,0.277443262484449,0.193545400884595,0.408748154554665,0.505906757119201,0.192348344342732,0.0610323298059419,0.207050306726797,0.5859335200324,0.532219188571484,0.380152332958611,-0.0266095628772755,0.100656307165232,0.100656307165232,0.411419270003524,0.334952560641568,0.233625742727856,0.287489964439632,0.411418155781471,0.552141009564707,0.181892791780252,0.411933748699296,0.0966362407179179,0.319057633237921,0.533918434956394,-0.182602094306399,-0.459277490498633,0.350869375921641,-0.21936361854979,0.220146791996612,-0.0969538211978152,-0.419768248044611,-0.360843444465506,-0.263408998345348,0.519462460014237,0.131955702630949,0.409051433116624,0.152462178746582,-0.234981387400136,-0.456243343641111,0.159484961580433,0.240651572703689,0.159484961580433,0.230083062785881,0.335000415470617,-0.0926898455656038,0.422006743493459,-0.0624138737255723,0.00789964114528522,-0.0120706435886844,0.103097239960171,0.266664752816087,-0.276620579121887,0.157046315724446,0.128686719905506,0.39710020522018
