,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C
δ,0.880257938665691,0.159877586823979,0.894877692615396,0.59909632557992,0.262379348933901,1.00105914781518,0.56095150971056,0.718812353010819,1.27405858045312,1.01874824382213,0.669442583781422,0.5642195793724,0.558543837077553,0.637751126259982,0.589055666399414,0.998878797913151,0.975786840966472,0.676661589369755,0.316618141501045,0.533213846286358,0.498097041127994,0.398236806949092,0.891525094824826,0.691836784833813,0.782059313595399,0.572641961124906,0.342046477771631,0.561986916613597,0.651197216566749,0.544072890026103,0.518065524175475,0.291283128098751,0.88934149455095,0.440746396422662,0.53017882812178,0.30715234981393,0.63170147744166,0.573978135301456,0.599863287418015,0.816097639279508,0.5462362774836,0.486761387526073,0.624597887167357,0.335039881458718,0.484383599335459,0.353934365983478,0.579918002108924,0.619927421968946,0.725066805663055,0.635244697944017,0.892453231979175,0.283973046659961,0.674946366493266,0.279986704934338,0.381319592915349,0.21847068266333,0.561280166364818,0.733926654955986,0.892433653261973,0.809141294143305,0.625749889631045,0.425384264352461,0.700472858545659,0.881568368262292,0.592443077416761,0.524387477657984,0.589861742757948,0.731646166892423,0.273039024430318,0.521624775974852,0.703267758057031,0.577285405360846,0.693315820398514,0.583585680224668,0.370802571058082,0.697110903851262,0.546805046450101,0.580856610077775,0.589255466295939,0.58190381463335,0.507242175593125,0.968785405393589,0.398612663604787,0.748770045375615,0.670471403730746,0.472169235997242,0.472945848029821,0.901515473315761,0.636661971709424,0.775664226504105,0.636014898506004,0.722970850856495,0.552559634513776,0.598862940908357,0.508497126040999,0.444672583758172,0.648960812892963,0.545167414538401,0.611844954930072,0.501321021708174,0.519844441531311,0.386970774408877,0.284941956769681,0.439122025072088
θ,0.866013695476778,0.179623872080565,0.729983349258714,0.269095154195698,0.348827945640009,0.638633343946081,0.429672123209916,0.643351044022888,0.714086155482528,0.51943260083203,0.63893577322177,0.588009089010823,0.818385098285977,0.607430619084954,0.565959699846568,0.790893295108252,0.67375406504307,0.676688655090675,0.354142674084914,0.516144287403226,0.713354775928616,0.477475068434493,0.927469270486868,0.690105080365858,0.593806687082031,0.688198895155786,0.29945912225354,0.774295287768389,0.655157672285963,0.540327907314668,0.53383318239908,0.509222149520376,0.931291004108805,0.535243875551584,0.413816159723185,0.256192612488967,0.459539598733558,0.539304415866059,0.533758626950356,0.807801176407322,0.610103119700024,0.716345654717955,0.742062007709728,0.368328190488329,0.785809713641494,0.444758050916994,0.490596859198453,0.633256719165101,0.494691755242066,0.840486488615121,0.930456461212751,0.251840090680857,0.459242221237388,0.179785499346005,0.0967377013975982,0.0827109017632523,0.613438791172731,0.859204632608106,0.632258774034139,0.621682353279596,0.925092301995167,0.550416403065824,0.567082513201102,0.683097652309722,0.472045178192058,0.58426325994658,0.342196449388265,0.675500919209587,0.23671880053564,0.610529371266992,0.593066485778043,0.68722909616955,0.722779701494405,0.409276184072523,0.216456021922615,0.672504295123952,0.632616774706781,0.63564190264611,0.604498499845216,0.558795798540505,0.413704864499482,0.78621661893486,0.391687810030738,0.846065729267693,0.793435949714008,0.402790504213379,0.599215768785962,0.721648720391896,0.653606883366627,0.538924900748789,0.654857716333246,0.600464727435222,0.768336424213936,0.530145899443417,0.513272581138329,0.569989348718048,0.656468216003422,0.70602990817801,0.699632618356068,0.680259397141896,0.588530542520371,0.372342678572037,0.492305774102306,0.578791423787086
α,0.69598332101728,0.0710040016218302,0.522759023354175,-0.0450772194070565,0.255541102272796,0.312794817761116,0.185615684122095,0.401855813481878,0.341507245033034,0.148975019980127,0.546588624651042,0.410361179839782,1.05530842563256,0.321702859644142,0.348429444214246,0.513771567917528,0.371200610041972,0.626133434316082,0.178253705879231,0.259568330467116,0.750245264249746,0.404947141530281,0.811447951028415,0.557191577259199,0.349445439428754,0.728128349893879,0.0854517877596171,0.903229563041261,0.516056479346468,0.335777628788035,0.357055772836769,0.688532590521531,0.819673603241637,0.453877753504431,0.165797015642025,0.0536444059865584,0.108928271854124,0.354668942667364,0.294269409851132,0.579582611714301,0.485653938279584,0.824248622889612,0.75512696758172,0.153454393893537,0.793980313884784,0.367186173592648,0.301924749692626,0.451369201098813,0.22661820684354,0.923014481131398,0.784028185862045,0.0879263027636319,0.234062791003148,-0.094234053312192,-0.239191937802895,-0.16181278149754,0.500279236624292,0.706651219462721,0.259554125010536,0.350951429186789,1.2838796852381,0.58866236832282,0.244874044615778,0.381120100923797,0.136248151515996,0.41895480964244,0.0454949286949132,0.444322706796877,0.0941483919693802,0.48541470507759,0.295422873538326,0.655936476689048,0.717967622576843,0.127360858113987,-0.0464671874791269,0.514471781375034,0.613409725548243,0.428741786457891,0.28487460592014,0.348024256227587,0.123755255393113,0.53744570390807,0.275934054776403,0.8235193371602,0.626654533427624,0.138868005808918,0.489215172596398,0.594419608281235,0.51056043680883,0.189841430006536,0.366457195200139,0.318291613002359,0.84423111061823,0.376507052537855,0.350894165364979,0.404449234246555,0.350715461972666,0.62287071101558,0.62734955188559,0.591152601874146,0.415054728627323,0.133313386080703,0.546116990663425,0.554035009532916
β,0.617064409042124,0.613244499605147,0.870281029285751,0.350967838254542,0.51818210616735,0.597092516221958,0.422290850888331,0.698495358295988,0.752181053798085,0.526077075550949,0.675069083585258,0.66065265565984,0.964915358347017,0.471528210032821,0.72097742434509,0.755032271550123,0.633789655708808,0.706936684152621,0.465872916615556,0.364086778798732,0.758576402536112,0.853184465296577,1.048150786899,0.770307384272797,0.948510861510522,0.7709765562374,0.479392067129028,0.930884220168254,0.991831611518048,0.51108716466061,0.69159128531547,0.898135451622164,1.05394562523822,0.711427527244547,0.389992432532955,0.398310455745503,0.319032837235751,0.722051533273298,0.78741771638604,0.642267984707203,0.840186964074692,0.896545568639835,0.715421087620564,0.452035753560175,0.730347359800775,0.676882024810257,0.722155476765805,0.707631630560761,0.745161420492724,1.02564189311028,1.19704693402327,0.560031820661325,0.870600910506173,0.24267831151126,0.185214524783315,0.32877078633239,0.938796802460253,0.882228515842075,0.588706885716112,0.405996875279424,1.13147161403098,0.758727518109906,0.516216243662872,0.705990119183158,0.356633687374919,0.636237330732681,0.524775763424538,0.777098312063694,0.522068931797846,0.746948499144169,0.597167450431105,0.831895016848228,1.22532463294859,0.370398479620986,0.251657052681996,0.810054720057323,0.731962161667181,0.551385166167788,0.313227319690432,0.327150829630338,0.30639019540969,0.688191498439292,0.789269432816645,0.827706480770006,0.707600184907806,0.373016851328984,0.517704335483867,0.724097265701172,0.720270736492265,0.419330212336967,0.465649627838598,0.606044391990973,1.02891147100821,0.630793230851576,0.830303065367339,0.505646070218154,0.424185233798058,0.579136676755034,0.743440927232166,0.734203586292785,0.416024800530273,0.378651305898096,0.989473117461246,0.838825585861556
γ,0.123398780452425,0.471245566462975,0.257504780904698,0.0870169790997424,0.223532988335336,0.178011513744638,-0.0505873047270692,0.388381310350372,0.597845394589874,0.357302266809369,0.200382160874996,0.0609613699211692,0.325829705728159,0.0549638053782963,0.504186871824797,0.357498331471184,0.196645875084935,0.170832731833009,0.182627462043976,0.0268123744833534,0.317733810641414,0.626919085630259,0.423352370682644,0.179098979483071,0.365489376841328,-0.0552705020475704,0.179471402053069,0.19740555147284,0.591141339296309,-0.0892545358264396,0.362432870276836,0.323105190452386,0.42821763555232,0.307215904813711,-0.193230742769023,0.114409534442426,-0.0963547737085733,0.500548154707276,0.399781517916575,0.185702541734566,0.4760251569212,0.0351578155389639,0.0344339517289093,-0.0444429049066907,0.228751377620076,0.225233894316806,0.395559480135906,0.146969817241441,0.372512497381786,0.39063921280138,1.1466738296342,0.442490833827384,0.643092754584431,0.114423550961197,0.142286688972237,0.162739894945432,0.520594784334382,0.512517978552008,0.416410777169703,-0.104374650807636,0.133839649895135,-0.0464165629742805,0.33999683018065,0.522513958317441,0.0370108958526779,0.307059771756228,0.343515126908151,0.399729128497032,0.332928776040741,0.439529250978644,0.118906104630227,0.321818077841447,0.495442707110812,-0.310446654258932,-0.405159440350674,0.615380126071941,-0.198609279890132,0.297088413090326,-0.0219683095021836,-0.453258638414957,-0.334369007404462,-0.254411087423736,0.374029439779197,-0.0822011981664991,0.39339610231258,0.175868258353569,-0.253942727632391,-0.343750248739239,0.134529695618668,0.114478250115104,0.0760247263146275,0.173847805616874,0.432847517625272,-0.153961475550955,0.44035467158661,-0.148435588178476,0.0455693987642626,-0.00325329308093758,0.156067610295576,0.386650426618148,-0.241105623744294,0.084727435070459,0.198162102367534,0.422808664519193
