,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C
δ,0.863219452466808,0.0971949183162918,0.790392102572344,0.589139287897735,0.399088276296823,0.6059032124671,0.571417795818638,0.688152538399322,0.804560313068752,0.849928340243629,0.765701687162065,0.519510368681135,0.435423042451555,0.605945483611579,0.618122466769153,0.863322851458062,0.607010299679169,0.583132337656911,0.396632848189193,0.57258637598649,0.443266979692659,0.35755194526966,0.77080694007214,0.605527377921659,0.728892261785934,0.714729900354082,0.491828649053091,0.548854991551786,0.591071870538653,0.525074940648872,0.463637515269513,0.258307405451257,0.210521038703666,0.457650801448444,0.73673491049077,0.269600602621379,0.618257022740722,0.458910376436912,0.556673900730155,0.874743224211546,0.492597876665269,0.474343019858928,0.495764572627873,0.415499817534483,0.713367766342539,0.320122790481473,0.693094684250265,0.726881112978388,0.71357266644154,0.613986131773285,0.774706009186123,0.329712545932817,0.367729481071312,0.382043747561454,0.626696472803571,0.254649796494089,0.398630710434298,0.672733635318176,0.506147721277657,0.581430274786885,0.45244241500685,0.166914322795676,0.321580977000192,0.158581368814087,0.436799911632504,0.632113546324507,0.577477011250703,0.624705113421676,0.72066397402205,0.678659954351306,0.371574627434273,0.568458737919921,0.385543646393455,0.749234753686668,0.315775167172982,0.835288573734714,0.635327877004336,0.655945153997712,0.709537118570278,0.663949680445302,0.429040588009986,1.26826863410931,0.701572645486818,0.585332196434072,0.721325131066269,0.948632753469648,0.993217674790258,0.989926462310261,0.47050684856121,0.951907862660898,0.69353307279706,0.733559738895008,0.67574323647227,1.16411602828307,0.55817440916133,0.581856786085546,0.74942227261978,0.708830440175588,0.681144528264005,0.546084405183119,0.6146181213396,0.5008465833506,0.374182235728115,0.442101110208294
θ,0.966553793032735,0.197418638081567,0.727452707759089,0.285858951924968,0.476700597512557,0.585014810327778,0.451182292990929,0.666629936778851,0.637806635421884,0.533481583837042,0.722112773344866,0.516821529617822,0.825143798457462,0.612953724846213,0.72957799109659,0.824177228525331,0.584597324758395,0.67057249174554,0.43315598429948,0.690556782189507,0.684410984635783,0.394488764962248,0.928127487484039,0.717916676373764,0.709380456497992,0.971928868953536,0.414328703908993,0.820972088576877,0.681185959239321,0.574934948622298,0.581442066413791,0.475360010772228,0.241206408697333,0.560083904617897,0.540516083386808,0.236023089883764,0.458638493726903,0.495465032717218,0.566269767280387,0.892835128642991,0.579550503831317,0.722225046782893,0.733294752292463,0.417229702726433,1.03674576582959,0.433972024265106,0.572041300020247,0.7211700617609,0.512920332651998,0.900529322361022,0.775535274679116,0.283508784734584,0.323083142041866,0.517905802843584,0.583818431583862,0.192310419267401,0.652536678184487,0.583611529244519,0.599467957833581,0.730636542878846,0.745408522902841,0.0671375426701912,0.170975815251508,0.0814308407141845,0.601755263303074,0.880662763614789,0.451145200499013,0.553613215407418,0.604793334451304,0.621301478115781,0.521403172500791,0.423036783764388,0.454302774831734,0.584293719880416,0.275074641689207,0.753544978396343,0.702643827798871,0.634309521406322,0.70762407384191,0.637059047853886,0.410069050745418,0.959425050392589,0.55107751795318,0.778914262441062,0.808385158382089,0.675468183246512,0.665032092541524,0.847258727843391,0.577497620798047,0.604598840318514,0.71968855995301,0.671414969417462,0.851029844296178,0.840930201790813,0.559873875082692,0.59976042231172,0.735216475777264,0.851084715413544,0.747338173003119,0.73248093629838,0.635193530497809,0.467992054507068,0.542413038724476,0.551953832051125
α,0.760450025508345,0.121435207027184,0.483634524010136,-0.0364270563458277,0.325320971492354,0.332807851697932,0.202009878832123,0.441279894564328,0.346743748152328,0.157868608317423,0.589329960654974,0.350308041160301,1.17432361535453,0.323258527466696,0.597892591912542,0.525736780645678,0.33321070671957,0.639098821887429,0.290565261237225,0.435304500353543,0.758381362082248,0.261280480408765,0.865603646382998,0.563236572410113,0.467661932494214,1.01961854571125,0.147745901137759,0.913668455882065,0.558045670365144,0.419312167853633,0.42236651806874,0.561194848591131,0.132286763155119,0.495761463865144,0.293518273935716,0.0504290818621323,0.121565842491577,0.369826454250371,0.353622049403411,0.65795513425592,0.458493073935427,0.765079840188961,0.814736899131516,0.158659008915339,0.906953664219926,0.367014637597677,0.373524184177726,0.521627864065342,0.228107636655853,1.03666017067021,0.617648684025958,0.0687987450444732,0.192117936937245,0.596143567756967,0.415126423910877,0.0239142415343941,0.77180668908445,0.322147489852479,0.524782108958902,0.844814556618331,1.15601118985592,-0.146491570046546,-0.104004299838942,-0.0818023403846708,0.644252546777258,0.986921248584408,0.165979546549543,0.356631475514761,0.33334193369345,0.337104067451003,0.524833786313243,0.193204995998532,0.317745741931822,0.223586332136182,0.0525000400148129,0.534113825944773,0.622136102510591,0.395372332000208,0.295210080879724,0.366101208423993,0.129584475246228,0.614265853558876,0.333189726624009,0.742102659146365,0.601924881528592,0.326868786268377,0.315685834178473,0.686063951238193,0.476520721843425,0.211618175870997,0.376576310385497,0.422616128734573,0.9239117688251,0.561640121918962,0.381570236963681,0.414831081847513,0.406018382048536,0.720400328804171,0.613719626260191,0.664221979988834,0.442031987659622,0.25275104506309,0.510591850818258,0.464996244341258
β,0.593270042626499,0.65092403225062,0.839459516243357,0.327639665964041,0.572617818253917,0.56660581813144,0.391670438387935,0.737662040616464,0.660646129320959,0.476252527481179,0.740594070548279,0.685608032171019,0.967718103675408,0.406388796422882,0.897946778566165,0.69509552190779,0.567037220335652,0.653222391558012,0.588618831053582,0.486134319536919,0.830009550709481,0.617092877840694,1.04592717830227,0.736458480919499,0.92550063475268,0.953350203114528,0.517160283564159,0.89097897540957,0.971363107429304,0.525965449824782,0.753503303540555,0.903999153283185,0.683132233515571,0.75470932922593,0.500492512320361,0.315248288497903,0.359149937777273,0.736355311817107,0.813909591663628,0.647315764278646,0.769177816493063,0.88154070234513,0.754685007716757,0.417386407407037,0.764709541665593,0.571467897208599,0.804324396881576,0.849814959875481,0.701206382011777,1.06784239871595,1.00230891632653,0.458274902732664,0.841817866011444,0.77618528708411,0.859116241264399,0.422468653295988,0.951322081504021,0.678601030414253,0.765734641718852,1.33069413008719,1.15929101636665,0.255330000925419,0.236947321322259,0.525765913742304,1.02863140544007,1.2986485284324,0.545388955705519,0.767402455986078,0.58937800862055,0.560801598074071,0.712225690879037,0.69877171688854,0.566002081163621,0.316626606078934,0.349751005434028,0.852314243656903,0.778548250858483,0.565868100433548,0.258696901345148,0.304151984979081,0.271040769358329,0.763863565097056,0.920129671806639,0.744291787244661,0.675784557135645,0.635942783072925,0.641748939826414,0.763591067143933,0.72055694727293,0.489770545158559,0.483589227901762,0.635408287988072,1.11558122168284,0.800588655600418,0.61181134567984,0.575400283867541,0.510731156919825,0.668308162308945,0.733482216492336,0.763877991337709,0.462310361833118,0.485785705007363,0.972937797235104,0.778452157015661
γ,-0.0311421011044088,0.493489065011328,0.200373744155314,0.0903481553571519,0.266479190229113,0.0898141977813771,-0.183692845540221,0.463813233927733,0.31245055985748,0.255695754423062,0.293104664800814,0.212038577518612,0.25008013675508,-0.0335929419752808,0.618622551750364,0.268002763783008,0.0893586262695389,0.0226509250062665,0.310640090057269,0.221886369834316,0.481975551420842,0.23527114862056,0.37920749275189,0.166814872652654,0.262058861290462,0.0820913657932615,0.155293480783368,0.212128089500683,0.626957275312729,-0.159550462633025,0.429947597437391,0.480432729221354,0.338724586338423,0.313607939596957,-0.162267970616561,-0.0438740063412874,-0.0759204244681062,0.473855693632046,0.364122748966174,0.0660497268136505,0.325132356767115,0.176218259711895,0.121584618757345,-0.0277082954424678,0.256917732568446,-0.206633488837964,0.514438151321142,0.415553429725575,0.138437751897374,0.365575345771072,0.821296248249033,0.305283820292747,0.502301336624226,0.231019760628293,0.502774340832238,0.243888140209007,0.546849595428129,0.177605188332838,0.303795428852576,0.623622667715701,0.719275970012872,0.129470713823265,0.111932866853566,0.335071238652227,0.655245882621963,0.736186926700214,0.355960060447568,0.608970950246868,0.341109516370554,0.205358308593092,0.320258901938693,0.558789152853624,0.135348688175952,-0.545162025307847,-0.384164474179959,0.709599736368196,-0.0669839897971327,0.298622040741032,-0.213585660004754,-0.517054901401061,-0.470915349041449,-0.219610781796419,0.477903300867861,-0.126675128079831,0.309589357790446,0.534778951053496,0.527535175343001,-0.253684414137206,0.115180035145307,0.190966934165067,0.15877884775704,0.170104666528691,0.425390455503526,0.087446528963245,-0.0419387227933646,-0.0415486124322892,0.126345604657327,0.0076457844408671,0.229457557442112,0.344449073612726,-0.208435784196266,0.098515841633472,0.253842248623711,0.353440365447352
