,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-T,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C,Closed-C
δ,0.638362522170246,-0.076661633660279,0.79023853986481,0.377230544640833,0.263950394536116,0.746724963633266,0.334014225377936,0.548662730430725,0.554992624690805,0.526599501364932,0.586776990100538,0.515718342939985,0.728741589230624,0.362557812422847,0.625824576472144,0.766301256687225,0.787379246610763,0.496094831326069,0.046538806514831,0.357329277159153,0.327607325370973,0.28326951240946,0.73629601539871,0.599254917075948,0.662395156751078,0.712310043001407,0.266305352312119,0.42204352359735,0.849625367478378,0.276256760277645,0.448491395146713,0.348224672663482,0.174473267763528,0.302830986485768,0.171968688237937,0.122393568713782,0.430511494867446,0.538292187557841,0.397344969820533,0.803056307527129,0.448278972018775,0.72132995009801,0.563819943290988,0.15714351070846,0.755534271748777,0.285395822884673,0.566819776240853,0.776960299579386,0.435922363765446,0.905129617169881,0.3786782907923,0.108668568709207,0.353125436597434,0.567154770311397,0.566089402740061,-0.07925071522474,0.584931234689047,0.655914996131921,0.555302183308258,0.646952764417606,0.557390547886582,0.161566607355927,0.30692388103079,0.24261200115206,0.503871446301861,0.639338398540205,0.641191260452821,0.532866056812967,0.535547038538059,0.330334817924626,0.306814221199757,0.363643392875212,0.240037394987592,0.809141865585075,0.302417656712158,0.660804074498216,0.517671064600183,0.598929351185184,0.617464451084009,0.63501026148342,0.386864523515268,1.12581852914854,0.611516132325851,0.861507951017068,0.585509506330252,0.649140998017561,0.602978892869591,0.933497436646049,0.476796316938389,0.614855110146835,0.593755120313807,0.608452430438555,0.718812341981797,0.634840836841033,0.484760915616439,0.630225948865058,0.525691943809664,0.7347345126133,0.709861795587343,0.606437608334,0.599298588544453,0.444199381900436,0.572066599817311,0.552334566385034
θ,0.983394722429686,0.2326748985693,0.957101331587504,0.349903165484986,0.593111595101451,0.65190793483943,0.431394482600363,0.757846718145755,0.742949472118526,0.500468059151712,1.05596157871243,0.821784125852297,1.10597988772381,0.70234669868678,0.993970269534122,0.902139867655168,0.670413853036748,0.734610938904924,0.439037661214581,0.717698071664322,0.781496683482353,0.563935633651489,1.04902079685008,0.852837266123039,0.825069781556819,0.931517334091127,0.531731069847284,0.887686004470957,0.843679792160083,0.62007120026201,0.728541383662857,0.684712533412093,0.531677874736826,0.651493760901101,0.49554492290187,0.392924836508725,0.455917472799688,0.882932354793922,0.474775721586107,0.949774220546665,0.628892298191189,0.937207623948295,0.862395998881587,0.48876291236782,1.17281682509058,0.605555265989695,0.661627727058958,0.977080878110946,0.655487489048444,1.10435155980915,0.658467719670154,0.123254463481531,0.467625916497625,0.842533468895493,0.774038692772536,0.295517739104844,0.789677477235139,0.642477558282813,0.776791957477038,0.985458417317295,0.957658742722918,0.17031689815387,0.277996020752535,0.219900782079729,0.715136796014061,0.944231965746555,0.72863508058326,0.655555542699489,0.715078276979295,0.587011752851923,0.693968315879338,0.761414530457289,0.59781471783242,0.737095195552495,0.606865168826727,0.862973943080058,0.751138262719904,0.817129008929396,0.768933043395162,0.943632807216963,0.559927127988469,1.07399521175638,0.840608754390029,1.16957324724768,0.894295530679025,0.696302261048128,0.780181996667585,0.996961827483415,0.659896547372992,0.940499813383655,0.732900237088558,0.930137034251409,0.950685044247306,0.869847563292124,0.625253030527053,0.728311368515814,0.807970160637026,0.86404539615255,0.812256280866795,1.00075222105885,0.772327563018724,0.499891907770956,0.8101578868831,0.863345132924617
α,1.17646883115717,0.479383782894995,0.864308801879274,0.199436378161003,0.975934751724216,0.338088746124388,0.439117254843801,0.902768849122635,0.781177245563859,0.317838041084284,1.73517530094351,1.17900269335215,1.55443970905778,1.09651543266599,1.29368352905335,0.892869884550823,0.356119857895392,0.92941949621552,0.585012645507421,1.08658007274716,1.19730945146781,0.678706966281207,1.45095965622654,1.06448247371489,0.901274132677667,1.07077191601717,0.575628535561279,1.54253691140411,0.663048516237978,1.17745823024544,1.00434675882052,1.1387078813134,0.928918797180606,0.906483021194725,0.819263735435336,0.62050239192023,0.225378034730678,1.17492281277009,0.261954509878426,0.910021947917659,0.745129635026759,1.03834602151747,1.05340417906576,0.546810952212811,1.4975403815801,0.826419336206409,0.709547876829276,0.935584245562464,0.774542164492622,1.15201707889651,0.781199672980927,-0.010929014671653,0.461372539823907,0.948946148778966,0.936628452665574,0.726661855376595,1.02679132537347,0.398309667032835,0.776510965789952,1.4059112226139,1.61343890755656,0.0204844268368254,-0.0274487125250463,0.0329002526506258,0.75028566946639,1.10830380258063,0.627500497408175,0.61507717235887,0.671048771834025,0.672198684538311,1.39013529578057,0.944476433733844,1.14354660908122,0.489775684203523,0.977919009964592,1.05318946773419,0.994491480872393,0.877878868093264,0.644603973140006,1.22501044700657,0.706751401145991,0.915023876562198,1.01887466154019,1.64935486889171,1.08163311099858,0.607863436036665,0.82261133848296,1.11224968471964,0.703662835694897,1.07469739447724,0.639531633123463,1.28920758015779,1.14130202135395,1.0642158764784,0.68120769351214,0.70256144710189,1.12662640902779,0.61299283311727,0.717172688120098,1.37359602296504,0.830210847210083,0.388581327254382,0.946254096265177,1.19888172113413
β,0.78874269217217,0.439789285392501,0.936993663660575,0.522936334217392,0.965345510823185,0.461087490574473,0.559930835401573,0.940242883025859,0.928395097228453,0.553753508579862,1.11885180047614,1.25073035726393,1.29098889749335,0.967877274625833,1.05430694609626,0.869945588166216,0.480915519765291,0.793714633524176,0.31589711972257,0.831801375314119,0.829292508590953,0.724861658141165,1.51133864311021,1.09075069043718,1.26739555419132,1.03202543587768,0.621017296611296,1.14698446572895,1.06900490717796,1.06105495410748,0.915103767972715,1.05902342743846,0.905710529685361,0.833725029059526,0.668095167627708,0.455011271662455,0.361099298131637,0.900336582999451,0.576601636988121,0.811267815507827,1.0584854619615,1.13910660245681,0.76981853453512,0.51412615371239,0.978180483163713,0.810371659138803,1.01538636320757,0.898110311773331,0.993881631077606,1.08909740481229,0.786838663064655,0.336429485926983,0.869890623840725,0.789711080774539,1.16333233777288,0.432671918035112,0.934774310004386,0.619019366354373,0.780108129368957,1.34451887685564,1.3229579116739,0.404713782474068,0.0873552938164851,0.383116969473963,0.867032314548751,1.29509678683891,0.526228202117049,0.754573572250093,0.553117319191824,0.641227205692943,1.28834687712673,0.602350008974504,1.02294786721653,0.533203672328371,0.946263583037219,1.19052764834637,0.992670146128972,0.745416912352326,0.577999482088745,0.926667537205989,0.703265885136541,0.867953861760681,1.04300841876728,1.320425321459,0.91315141210935,0.647766371505669,0.778936677694467,1.02104674163481,0.751228439549119,0.79618148219194,0.740405543805954,1.10384142446854,1.19100443434355,1.13051654745105,0.902329404844044,0.935316306405982,1.05110184545802,0.518112985503815,0.639475904348055,0.985483665737213,0.566890422940139,0.570405633157557,1.1241220960143,1.06950359282907
γ,-0.0779227589264218,-0.036292367152577,0.110424600349148,0.344940651156541,0.39453319363365,-0.0224401735342838,-0.184708981599026,0.289702073091978,0.551396275144452,0.163082468813728,0.120246403381808,0.463409712554734,0.579800750684528,0.103096778088487,0.607357122576745,0.0493131515044954,0.0137212258387948,-0.0702229326058618,-0.458883411680028,-0.141387019461142,0.129633659270991,0.207717372371546,0.49462352649778,0.341554724565272,0.525358438777345,0.298144095167102,0.0826575479360732,0.13379996667738,0.824777195727331,-0.0452643243273805,0.343462863390345,0.253190679530582,0.229863058821092,0.154306170649699,-0.253277055795607,-0.248911220647711,-0.0935719683626995,0.297966129053961,0.191105540191123,0.295225208976095,0.351910438966168,0.193263552973681,-0.102475451234566,-0.14297732098492,0.147295215740812,-0.00672661058076182,0.488287503908856,0.134809531484579,0.191879127231779,0.325404500169551,0.142522492791031,0.170561758834902,0.492188676407827,0.0276537389519883,0.744856470106417,-0.23319313023668,0.112521114244401,0.030606972166837,0.218551833159404,0.0510956416699444,0.512365688860164,0.394563228455658,-0.104764271715437,-0.0210637679909977,0.373656654418032,0.73951342168378,0.134564294689398,0.532116026236887,0.0193701833072522,0.217984615092879,0.179298996772892,-0.127732541383685,0.188571648581569,-0.304277020136373,0.21149384930107,0.78974285866529,-0.0257370259381131,0.214606138225018,-0.0448274141978927,0.0874337448572983,-0.381097883026015,-0.291687736710276,0.458717021324212,0.00347826554055725,0.141721127234513,0.153874903232794,0.0105754082727938,-0.376720707573478,0.050094391625977,0.124722044698518,0.175833341666882,0.423013227915502,0.451120279719695,0.437437151348789,0.0540786182882016,0.0378863631392321,0.0909828649881796,-0.0692269895215634,-0.0738675119533226,0.16307057604915,-0.142280227808335,0.195352106842462,0.395924275409123,0.196580603247417
